canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-NA,F16-int,F3-NA,F3-String,F3-int,F7-NA,F12-NA,F17-NA,F2-NA,F2-String,F6-NA,F13-NA,F18-NA,F14-NA,F1-NA,F5-NA,F9-NA,F10-NA,F19-NA,F15-NA,F15-public,F0-NA,F4-NA,F4-boolean,F4-String,F4-int,F8-NA,F11-NA,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F74,F73,F84,F146,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,category
derby-B-577,3075,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/SequenceDescriptor.java,1273,True,6,26,4478,1,0,881,1,53,0.5700636942675159,179,93,0.5195530726256983,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,1,STYLE,0.0007513148009015777,UC_USELESS_VOID_METHOD,20,3,1,0.02003454231433506,0.0003454231433506045,0.0003454231433506045,1.0,0.5,0.00641025641025641,0.06260032102728733,0.08480126588811351,0.0,0.0,0.027936962750716332,0.08480126588811351,-0.9310344827586208,1.0,7,1910,1273,3075,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,380,1543,8135,19,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
derby-B-113,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/IndexDescriptorImpl.java,3064,True,3,20,1282,1,0,188,1,16,0.5412087912087912,216,98,0.4537037037037037,1.0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,39,6,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,1,0.013471502590673576,0.002072538860103627,0.0003454231433506045,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,10,6969,3064,8134,41,0.0,0,5,36,46,0.04410753575357537,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2580,3743,8135,22,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-1719,8134,org/apache/derby/impl/sql/execute/rts,org/apache/derby/impl/sql/execute/rts/RunTimeStatisticsImpl.java,3064,True,17,21,2007,1,0,344,1,38,0.26262626262626265,226,122,0.5398230088495575,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,28,9,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,5,0.009671848013816924,0.003108808290155441,0.0017271157167530224,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,8,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,604,1767,8135,142,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-561,8134,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/IndexLister.java,3064,True,6,8,4478,1,0,881,2,53,0.636,122,93,0.7622950819672131,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,6,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.02003454231433506,0.002072538860103627,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.9310344827586208,-1.0,6,6969,3064,8134,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,4689,5852,8135,19,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-586,8134,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/TriggerDescriptor.java,3064,True,3,42,4478,1,0,881,1,53,0.2835209825997953,491,399,0.8126272912423625,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,6,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.02003454231433506,0.002072538860103627,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.9310344827586208,-1.0,21,6969,3064,8134,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,603,1766,8135,19,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-563,8134,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/IndexLister.java,3064,True,6,8,4478,1,0,881,2,53,0.408,122,93,0.7622950819672131,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,6,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.02003454231433506,0.002072538860103627,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.9310344827586208,-1.0,6,6969,3064,8134,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,4689,5852,8135,19,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-123,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/RoutineAliasInfo.java,3064,True,51,23,1282,1,0,188,17,16,0.3634496919917865,313,101,0.3226837060702875,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,39,7,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,3,0.013471502590673576,0.002417962003454232,0.0010362694300518132,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,21,6969,3064,8134,41,0.31683168316831684,0,5,36,46,0.04410753575357537,27,5,0,32,5,22,27,0.31683168316831684,32,27,0,5,0,22,32,22,0.0198019801980198,22,1185,8135,22,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-1546,8134,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/ConstraintConstantAction.java,3064,True,31,6,17203,1,0,1541,7,151,0.912121212121212,197,106,0.5380710659898477,1.0,22,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,2,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,1,0.07150259067357513,0.000690846286701209,0.0003454231433506045,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.8981481481481481,-1.0,12,6969,3064,8134,241,0.0,81,358,-117,680,0.007261679860080886,0,0,0,0,0,0,0,0.0,0,136,0,227,0,0,363,-91,0.0028299252821855398,2277,3440,8135,5,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
derby-B-1696,8134,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/ValueRow.java,3064,True,3,16,17203,1,0,1541,1,151,0.9549180327868853,139,61,0.4388489208633093,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,3,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,1,0.07150259067357513,0.0010362694300518132,0.0003454231433506045,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.8981481481481481,-1.0,13,6969,3064,8134,241,0.0,81,358,-117,680,0.007261679860080886,0,0,0,0,0,0,0,0.0,0,136,0,227,0,0,363,-91,0.0028299252821855398,526,1689,8135,5,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
derby-B-1307,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/LockTableNode.java,3064,True,32,6,56152,1,0,4497,7,235,0.5561797752808989,106,45,0.4245283018867925,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,2,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,1,0.11122625215889463,0.000690846286701209,0.0003454231433506045,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,10,6969,3064,8134,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,4380,5543,8135,5,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
