F116,F115,F117,F120,F123,F110,F105,F68,F101,F104,F65,F22,F72,F25,F3-NA,F3-String,F3-int,F15-NA,F15-public,F126,F41,F77
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.06537982565379825,0.37549019607843137,28,2,8134,3064,1,0,0,1,0,0,610,3546
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,235,0.9868859283930058,0.5887815750371471,92,2,8134,3064,1,0,0,1,0,5,610,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.9209039548022598,0.6666666666666666,7,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,0.6666666666666666,6,0.9902912621359224,0.7058823529411765,13,2,7791,2804,1,0,0,1,1,0,0,6621
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,88,0.2769230769230769,0.2740384615384616,11,2,8130,3021,1,0,0,1,0,0,93,6969
0.0,-1.0,0.0,4.9971618126111155e-05,4.9971618126111155e-05,-1.0,1.0,88,0.1761467889908257,0.6323024054982818,34,2,7791,2804,1,0,0,1,0,0,1,5837
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.10344827586206896,35,0.18724279835390947,0.28152492668621704,9,2,7864,2847,1,0,0,1,0,0,10,4936
-1.0,-0.6363636363636364,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,151,0.2333804809052334,0.17995910020449898,23,2,8134,3064,1,0,0,1,0,2,241,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.3109048723897912,1.0268817204301075,13,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.02127659574468085,0.023834639568557327,0.023834639568557327,-0.9574468085106383,1.0,235,0.9656862745098042,0.5137614678899083,11,2,8134,3064,1,0,0,1,0,0,610,999
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.5238095238095238,56,0.9439252336448598,0.11353711790393012,20,2,7791,2804,1,0,0,1,0,0,3,6626
0.0,-1.0,0.125,0.023834639568557327,0.023834639568557327,-0.75,1.0,235,0.9865293185419968,0.8427152317880795,49,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.5698924731182796,0.7611940298507462,11,2,8134,3064,1,0,0,1,0,0,241,6969
0.0,0.0,0.0,0.42773363918857626,0.42773363918857626,-1.0,0.6,39,0.6255924170616114,0.12790697674418605,4,2,7394,117,1,0,0,1,0,0,73,763
-1.0,-1.0,0.0,0.023834639568557327,0.023834639568557327,-1.0,0.4864864864864865,8,0.541507024265645,0.608922638822971,166,1,8134,3064,1,0,0,1,0,0,0,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.8318703578663066,0.6282853566958698,20,2,8134,3064,1,0,0,1,0,0,610,2244
-1.0,-1.0,0.06349206349206349,0.08480126588811351,0.08480126588811351,-0.873015873015873,1.0,235,0.7554744525547445,0.3439306358381503,13,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.35200000000000004,0.7622950819672131,8,2,8134,3064,1,0,0,1,0,0,3,6969
-1.0,-1.0,0.2608695652173913,0.018972308598876112,0.018972308598876112,-0.4782608695652174,1.0,235,0.6606375763056749,0.5846464646464646,124,2,8134,3064,1,0,0,1,0,18,610,6969
-1.0,-1.0,0.06349206349206349,0.08480126588811351,0.08480126588811351,-0.873015873015873,1.0,5,0.187039764359352,0.2302325581395349,29,2,8134,3064,1,0,0,1,0,0,0,6969
-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.27502338634237605,0.5847457627118644,23,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.020833333333333332,0.0463645668132449,0.0463645668132449,-0.9375,0.1111111111111111,4,0.7831325301204819,0.6086956521739131,4,1,13323,862,1,0,0,1,0,0,0,8272
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,52,0.4779874213836478,1.0147058823529411,7,2,8134,3064,1,0,0,1,0,0,124,6969
