canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-NA,F16-int,F3-NA,F3-String,F3-int,F7-NA,F12-NA,F17-NA,F2-NA,F2-String,F6-NA,F13-NA,F18-NA,F14-NA,F1-NA,F5-NA,F9-NA,F10-NA,F19-NA,F15-NA,F15-public,F0-NA,F4-NA,F4-boolean,F4-String,F4-int,F8-NA,F11-NA,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F74,F73,F84,F146,category
derby-B-1294,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/FromVTI.java,3064,True,64,64,56152,1,0,4497,18,235,0.3673272112131464,1203,583,0.484621778886118,1.0,37,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,3,STYLE,0.0202854996243426,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,2,0.11122625215889463,0.0010362694300518132,0.000690846286701209,-1.0,0.0,0.0,0.06260032102728733,0.08480126588811351,-1.0,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,0.3333333333333333,42,6969,3064,8134,610,0.027027027027027032,189,443,167,1242,0.021409778878493668,1,1,0,2,1,0,1,0.027027027027027032,2,475,0,315,142,0,932,160,0.014748290613587938,5,1168,8135,5,1168,open
derby-B-1513,8134,org/apache/derby/impl/sql/conn,org/apache/derby/impl/sql/conn/GenericLanguageConnectionContext.java,3064,True,15,166,1771,1,0,260,5,8,0.8942528735632184,2107,1283,0.608922638822971,1.0,14,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,7,4,PERFORMANCE,0.0015026296018031554,WMI_WRONG_MAP_ITERATOR,18,2,1,0.002417962003454232,0.001381692573402418,0.0003454231433506045,-1.0,0.0,0.0,0.12349397590361445,0.023834639568557327,-1.0,0.0,0.014684813753581662,0.023834639568557327,-1.0,-1.0,78,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,267,1430,8135,267,1430,open
derby-B-1590,4429,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/GrantRoleConstantAction.java,1876,True,44,4,17203,1,0,1541,11,151,0.5662650602409639,147,67,0.4557823129251701,1.0,42,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,2,STYLE,0.004883546205860256,UCF_USELESS_CONTROL_FLOW,20,3,1,0.07150259067357513,0.000690846286701209,0.0003454231433506045,-1.0,0.0,0.0,0.06260032102728733,0.08480126588811351,-1.0,0.0,0.027936962750716332,0.08480126588811351,-0.8981481481481481,-1.0,4,2491,1655,3656,241,0.0,81,358,-117,680,0.007261679860080886,0,0,0,0,0,0,0,0.0,0,136,0,227,0,0,363,-91,0.0028299252821855398,1495,2658,8135,5,1168,open
derby-B-1507,2965,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/WindowResultSetNode.java,1165,True,49,7,56152,1,8,4497,7,235,0.3824175824175824,267,104,0.3895131086142322,0.30612244897959184,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,3,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,1,0.11122625215889463,0.0010362694300518132,0.0003454231433506045,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,2,1800,1165,2965,610,0.0053475935828877,189,443,167,1242,0.021409778878493668,1,1,0,2,1,0,1,0.0053475935828877,2,475,0,315,142,0,932,160,0.014748290613587938,5,1168,8135,5,1168,close
derby-B-1120,8134,org/apache/derby/impl/sql/catalog,org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,3064,True,5,297,8491,2,0,655,1,52,0.6305595905097876,8603,4162,0.4837847262582821,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,113,41,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,1,0.03903281519861832,0.014162348877374784,0.0003454231433506045,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.68,-0.3877551020408163,85,2315,1578,3480,124,0.09599813142323264,0,30,94,154,0.004705215118417475,116,29,0,145,29,87,116,0.09599813142323264,145,124,0,30,0,87,154,94,0.004705215118417475,16,1179,8135,16,1179,open
derby-B-1713,8134,org/apache/derby/impl/sql/execute/rts,org/apache/derby/impl/sql/execute/rts/RunTimeStatisticsImpl.java,3064,True,3,21,2007,1,0,344,1,38,0.4722222222222222,226,122,0.5398230088495575,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,28,9,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.009671848013816924,0.003108808290155441,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,8,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,604,1767,8135,142,1305,close
derby-B-123,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/RoutineAliasInfo.java,3064,True,51,23,1282,1,0,188,17,16,0.3634496919917865,313,101,0.3226837060702875,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,39,7,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,3,0.013471502590673576,0.002417962003454232,0.0010362694300518132,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,21,6969,3064,8134,41,0.31683168316831684,0,5,36,46,0.04410753575357537,27,5,0,32,5,22,27,0.31683168316831684,32,27,0,5,0,22,32,22,0.0198019801980198,22,1185,8135,22,1185,close
derby-B-1342,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/QueryTreeNode.java,3064,True,13,80,56152,1,8,4497,3,235,0.9175764192139738,982,636,0.6476578411405295,0.4615384615384616,7,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,3,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,2,0.11122625215889463,0.0010362694300518132,0.000690846286701209,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,7,1645,1061,2810,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,99,1262,8135,5,1168,close
derby-B-145,7791,org/apache/derby/client,org/apache/derby/client/ClientPooledConnection.java,2804,True,17,16,359,1,0,51,3,6,0.3360995850622407,248,181,0.7298387096774194,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,7,3,STYLE,0.0439519158527423,BC_UNCONFIRMED_CAST,17,2,3,0.002417962003454232,0.0010362694300518132,0.0010362694300518132,-1.0,0.02608695652173913,0.0006514468518249237,0.06260032102728733,0.08480126588811351,-0.9478260869565216,0.0,0.027936962750716332,0.08480126588811351,-1.0,-1.0,22,5748,2454,6913,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,139,1302,8135,130,1293,close
derby-B-1695,8134,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/ValueRow.java,3064,True,3,16,17203,1,0,1541,1,151,0.8278688524590164,139,61,0.4388489208633093,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,3,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.07150259067357513,0.0010362694300518132,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.8981481481481481,-1.0,13,6969,3064,8134,241,0.0,81,358,-117,680,0.007261679860080886,0,0,0,0,0,0,0,0.0,0,136,0,227,0,0,363,-91,0.0028299252821855398,526,1689,8135,5,1168,open
