canonical_id,F116,F115,F117,F120,F123,F110,F105,F68,F101,F104,F65,F22,F72,F25,F3-NA,F3-String,F3-int,F15-NA,F15-public,F126,F41,F77,category
derby-B-155,0.0,-1.0,0.1,0.023834639568557327,0.023834639568557327,-0.8,1.0,88,0.4383561643835616,0.8235294117647058,5,3,5209,2075,1,0,0,1,0,0,1,4044,open
derby-B-229,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.375,88,0.4899328859060403,0.4691358024691358,17,2,7791,2804,1,0,0,1,1,0,1,6626,close
derby-B-122,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.484599589322382,0.3226837060702875,23,2,8134,3064,1,0,0,1,0,27,41,6969,close
derby-B-1547,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,151,0.8642857142857143,0.5771812080536913,12,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-550,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,53,0.4316069057104914,0.9852941176470588,35,2,8134,3064,1,0,0,1,0,0,3,6969,close
derby-B-1131,0.0,-0.3877551020408163,0.0,0.08480126588811351,0.08480126588811351,-1.0,0.6363636363636364,52,0.10347928339212838,0.4837847262582821,297,2,8134,3064,1,0,0,1,0,116,124,521,close
derby-B-1350,-1.0,-1.0,0.03947368421052632,0.08480126588811351,0.08480126588811351,-0.9210526315789472,1.0,235,0.2539000678272665,0.5846464646464646,124,3,8134,3064,1,0,0,1,0,18,610,6969,open
derby-B-235,0.0,-1.0,0.045454545454545456,0.08480126588811351,0.08480126588811351,-0.9090909090909092,1.0,88,0.3225806451612903,0.2692307692307692,10,3,7791,2804,1,0,0,1,1,0,1,6626,open
derby-B-1704,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,38,0.3323442136498516,0.21721311475409835,10,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-1583,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.34549878345498786,0.4693877551020408,7,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-132,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.42857142857142855,16,0.4147465437788018,1.1058823529411763,9,2,4740,2001,1,0,0,1,0,0,41,3575,close
derby-B-305,-1.0,-0.9473684210526316,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,56,0.9216686674669868,0.5530101225359616,129,2,7791,2804,1,0,0,1,0,0,3,6626,open
derby-B-1233,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.6695721077654516,0.8427152317880795,49,2,8134,3064,1,0,0,1,0,0,610,6969,open
derby-B-1204,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.5625,52,0.5384615384615384,0.06779661016949153,5,2,3164,1348,1,0,0,1,0,0,124,1999,close
derby-B-515,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,39,0.2933049946865037,0.8533333333333334,40,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-117,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.24776119402985075,1.4715447154471544,10,2,8134,3064,1,0,0,1,0,0,41,6969,close
derby-B-566,0.0,0.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.6,53,0.4230769230769231,0.5972222222222222,8,2,1686,362,1,0,0,1,0,0,3,521,close
derby-B-1957,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,88,0.9428571428571428,0.08695652173913042,2,2,7482,2621,1,0,0,1,0,0,93,6969,open
lucene-solr-B-1584,0.0,0.0,0.21739130434782608,0.4070964043141743,0.4070964043141743,-0.4239130434782609,1.0,118,0.15994962216624686,0.24214417744916825,15,3,12050,140,1,0,0,1,0,0,160,3123,open
derby-B-110,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.2774725274725275,0.4537037037037037,20,2,8134,3064,1,0,0,1,0,0,41,6969,close
derby-B-568,0.0,-1.0,0.14285714285714285,0.018972308598876112,0.018972308598876112,-0.7142857142857143,1.0,53,0.3464788732394366,0.4672897196261682,11,3,8134,3064,1,0,0,1,0,0,3,6969,open
derby-B-306,-1.0,-0.9473684210526316,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,56,0.9324729891956782,0.5530101225359616,129,2,7791,2804,1,0,0,1,0,0,3,6621,open
derby-B-1550,-1.0,-0.3333333333333333,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,151,0.6963636363636364,0.5983606557377049,10,2,8134,3064,1,0,0,1,0,0,241,2768,open
derby-B-289,0.0,-1.0,0.045454545454545456,0.08480126588811351,0.08480126588811351,-0.9090909090909092,1.0,56,0.4421052631578947,0.10294117647058824,6,3,7791,2804,1,0,0,1,0,0,3,6626,open
tomcat-B-18,0.0,0.0,0.1111111111111111,0.14753001392947815,0.14753001392947815,-0.6913580246913579,0.8333333333333334,4,0.4748201438848921,0.7692307692307693,13,2,17993,2411,1,0,0,1,1,0,0,973,open
derby-B-1455,-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,235,0.2071097372488408,0.6966542750929368,53,2,8134,3064,1,1,0,1,0,129,610,6969,open
derby-B-542,-1.0,-1.0,0.07547169811320754,0.08480126588811351,0.08480126588811351,-0.8490566037735849,1.0,53,0.4836795252225519,0.9794520547945206,24,3,8134,3064,1,0,0,1,0,0,3,6969,open
derby-B-620,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,3,0.5854126679462572,0.0779510022271715,47,3,8134,3064,1,0,0,1,0,0,0,6969,open
derby-B-1727,-1.0,-1.0,0.0,3.2208844613994704e-05,3.2208844613994704e-05,-1.0,0.10714285714285714,4,0.5597189695550351,0.2251655629139073,9,3,3164,1348,1,0,0,1,0,0,0,1999,open
derby-B-204,-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,88,0.4956140350877193,1.0,5,2,6765,2419,1,0,0,1,1,0,1,5534,open
derby-B-128,-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,0.7142857142857143,16,0.4516129032258064,1.1058823529411763,9,2,4740,2001,1,0,0,1,0,0,41,3575,open
derby-B-592,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.7222222222222222,0.423728813559322,7,2,1710,388,1,0,0,1,0,0,3,545,close
derby-B-1323,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.7228958630527818,0.8209920920201293,36,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-569,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.4392123287671233,0.8666666666666667,40,2,8134,3064,1,0,0,1,0,1,3,6969,close
derby-B-521,-1.0,-1.0,0.02608695652173913,0.08480126588811351,0.08480126588811351,-0.9478260869565216,1.0,10,0.4840989399293286,0.4953560371517028,20,3,8134,3064,1,0,0,1,1,41,98,6969,open
derby-B-1601,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.3111111111111111,0.19661016949152546,11,2,8134,3064,1,0,0,1,0,0,241,6969,open
