F116,F115,F117,F120,F123,F110,F105,F68,F101,F104,F65,F22,F72,F25,F3-NA,F3-String,F3-int,F15-NA,F15-public,F126,F41,F77
-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,53,0.3982035928143712,0.4647058823529412,27,2,8134,3064,1,0,0,1,0,0,0,6969
-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,0.7142857142857143,16,0.4516129032258064,1.1058823529411763,9,2,4740,2001,1,0,0,1,0,0,41,3575
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.3185185185185185,0.19661016949152546,11,2,8134,3064,1,0,0,1,0,0,241,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.6956300813008129,0.5277296360485269,46,2,8134,3064,1,0,0,1,0,0,610,6969
0.0,0.0,0.0,0.42773363918857626,0.42773363918857626,-1.0,1.0,57,0.9351851851851852,0.2278481012658228,4,2,7382,115,1,0,0,1,0,0,290,521
-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,0.3333333333333333,151,0.7735247208931421,0.5446685878962536,117,3,8134,3064,1,0,0,1,0,0,241,1334
-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,0.32142857142857145,88,0.4263261296660118,0.3577981651376147,27,2,7791,2804,1,0,0,1,0,0,1,6626
0.0,-1.0,0.1,0.023834639568557327,0.023834639568557327,-0.8,1.0,14,0.1393188854489164,0.7919463087248322,12,3,8134,3064,1,0,0,1,0,0,98,6969
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.8333333333333334,53,0.5304347826086957,0.3055555555555556,9,2,5173,2064,1,0,0,1,0,0,0,4008
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.19651995905834185,0.8126272912423625,42,2,8134,3064,1,0,0,1,0,0,3,6969
-1.0,-1.0,0.2,0.03272016230873249,0.03272016230873249,-0.6,0.5833333333333334,56,0.3137254901960784,0.32706766917293234,11,2,7791,2804,1,0,0,1,0,0,3,6626
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.3111111111111111,0.19661016949152546,11,2,8134,3064,1,0,0,1,0,0,241,6969
-1.0,-1.0,0.2280701754385965,0.005381474432391197,0.005381474432391197,-0.5263157894736842,0.4166666666666667,41,0.4540626659585768,0.4215017064846416,117,1,5492,191,1,0,0,1,0,0,118,7450
-1.0,-1.0,0.05,0.081104871355322,0.081104871355322,-0.9,1.0,56,0.6068965517241379,0.47560975609756106,5,2,5586,2137,1,1,0,1,0,0,3,3219
-1.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,16,0.7766666666666666,0.7814569536423841,28,2,8134,3064,1,0,0,1,0,0,41,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,151,0.4081632653061225,0.41452991452991456,3,2,8134,3064,1,0,0,1,0,0,241,6969
-1.0,-0.3877551020408163,0.16666666666666666,0.08480126588811351,0.08480126588811351,-0.6666666666666666,0.6666666666666666,52,0.9957114200733208,0.4837847262582821,297,3,8134,3064,1,0,0,1,0,116,124,846
-1.0,-1.0,0.03947368421052632,0.08480126588811351,0.08480126588811351,-0.9210526315789472,1.0,16,0.6472081218274112,0.4279475982532751,27,3,2319,755,1,0,0,1,0,0,0,1154
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.05,235,0.5465587044534413,0.25146198830409355,5,2,3012,1217,1,0,0,1,0,0,610,1847
-1.0,-1.0,0.29411764705882354,0.00544211798069462,0.00544211798069462,-0.4117647058823529,1.0,4,0.810304449648712,0.3595505617977528,10,3,3164,1348,1,1,0,1,0,0,0,1999
-1.0,-0.9473684210526316,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,56,0.9216686674669868,0.5530101225359616,129,2,7791,2804,1,0,0,1,0,0,3,6626
-1.0,-0.8461538461538461,0.020833333333333332,0.0463645668132449,0.0463645668132449,-0.9375,1.0,6,0.8797272163670179,0.3982558139534884,81,1,17709,2264,1,0,0,1,0,0,0,9256
-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,151,0.8278688524590164,0.4388489208633093,16,2,8134,3064,1,0,0,1,0,0,241,6969
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.8571428571428571,235,0.25925925925925924,0.6016260162601627,5,2,8134,3064,1,0,0,1,0,0,610,6969
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.6923076923076923,52,0.5071428571428571,0.05982905982905984,5,2,3164,1348,1,0,0,1,0,0,124,1999
-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.34793187347931875,0.4693877551020408,7,2,8134,3064,1,0,0,1,0,0,241,6969
-1.0,-1.0,0.0,0.0,0.0,-1.0,0.09375,33,0.43426238738738737,2.025355871886121,180,3,2562,1117,1,0,0,1,0,558,1183,1227
-1.0,-1.0,0.03947368421052632,0.08480126588811351,0.08480126588811351,-0.9210526315789472,1.0,235,0.1509433962264151,0.43778280542986425,41,3,8134,3064,1,0,0,1,0,91,610,3575
-1.0,-1.0,0.03947368421052632,0.08480126588811351,0.08480126588811351,-0.9210526315789472,1.0,39,0.6417910447761194,0.9491525423728814,8,3,8134,3064,1,0,0,1,0,0,0,6969
-1.0,-1.0,0.07692307692307693,0.3712370758067992,0.3712370758067992,-0.8076923076923077,0.03125,6,0.607095926412615,0.4469026548672566,36,2,13323,862,1,0,0,1,0,0,0,9256
-1.0,-1.0,0.16666666666666666,0.08480126588811351,0.08480126588811351,-0.6666666666666666,1.0,235,0.13947696139476962,0.37549019607843137,28,3,8134,3064,1,0,0,1,0,0,610,6969
0.0,-1.0,0.0,0.11528486410825428,0.11528486410825428,0.0,0.6666666666666666,86,0.6511627906976745,0.591715976331361,15,2,7195,3454,1,0,0,1,0,0,0,10586
0.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,52,0.42138364779874216,1.0147058823529411,7,2,8134,3064,1,0,0,1,1,0,124,6969
-1.0,-0.6,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,151,0.373046875,0.2901353965183752,16,2,8134,3064,1,0,0,1,0,2,241,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,53,0.3168859649122807,0.5019157088122606,11,3,8134,3064,1,0,0,1,0,0,3,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.2222222222222222,235,0.8603351955307262,0.7303370786516854,8,2,4429,1876,1,0,0,1,0,0,610,3264
-1.0,-1.0,0.2280701754385965,0.005381474432391197,0.005381474432391197,-0.5263157894736842,1.0,24,0.696969696969697,0.6226415094339622,2,1,13325,3497,1,0,0,1,0,0,18,3118
-1.0,-1.0,0.2,0.03272016230873249,0.03272016230873249,-0.6,0.4166666666666667,88,0.21834862385321105,0.6323024054982818,34,3,7791,2804,1,0,0,1,0,0,1,5586
-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,14,0.4365781710914454,0.6573033707865169,15,2,8134,3064,1,0,0,1,0,0,98,6969
-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.9525395503746876,0.5887815750371471,92,2,8134,3064,1,0,0,1,0,5,610,6969
